"id_studente" "tipo_laurea_triennale" "voto_lt" "voto_lm" "numero_appelli" "score" "appello" "domanda"
1 "stat padova" "91" "95" 1 NA "20140703" "1"
2 "stat padova" "" "" 1 NA "20140703" "1"
3 "stat padova" "103" "103" 3 NA "20140703" "1"
4 "stat padova" "" "" NA NA "20140703" "1"
5 "stat padova" "110L" "110" 2 NA "20140703" "1"
6 "Econ. e manag. TN" "98" "101" 1 NA "20140703" "1"
7 "stat padova" "110L" "99" 1 NA "20140703" "1"
8 "stat padova" "110L" "110L" 1 NA "20140703" "1"
9 "stat padova" "98" "100" 3 NA "20140703" "1"
10 "stat padova" "106" "108" 2 NA "20140703" "1"
11 "stat VE" "110L" "110" 1 NA "20140703" "1"
12 "stat padova" "" "" NA NA "20140703" "1"
13 "stat padova" "110L" "110L" 3 NA "20140703" "1"
14 "stat padova" "108" "110L" 3 NA "20140703" "1"
15 "stat padova" "" "" NA NA "20140703" "1"
16 "stat padova" "105" "92" 1 NA "20140703" "1"
17 "stat bicocca" "104" "110L" 2 NA "20140703" "1"
18 "stat padova" "109" "97" 1 NA "20140703" "1"
19 "stat padova" "90" "84" 5 NA "20140703" "1"
20 "mat TN" "90" "102" 2 NA "20140703" "1"
21 "stat padova" "103" "110L" 3 NA "20140703" "1"
22 "mat CA" "110L" "110L" 1 NA "20140703" "1"
23 "stat padova" "110L" "100" 2 NA "20140703" "1"
24 "stat padova" "110L" "110" 1 NA "20140703" "1"
25 "stat bicocca" "110L" "96" 2 NA "20140703" "1"
26 "stat padova" "" "" NA NA "20140703" "1"
27 "stat padova" "" "" NA NA "20140703" "1"
28 "stat padova" "" "" NA NA "20140703" "1"
29 "stat padova" "107" "105" 3 NA "20140703" "1"
30 "stat padova" "94" "102" 1 NA "20140703" "1"
31 "stat padova" "102" "92" 3 NA "20140703" "1"
32 "stat padova" "106" "101" 2 NA "20140703" "1"
33 "stat padova" "110L" "110L" 2 NA "20140703" "1"
34 "stat NA" "110L" "106" 3 NA "20140703" "1"
35 "stat padova" "90" "91" 2 NA "20140703" "1"
36 "stat FI" "96" "93" 2 NA "20140703" "1"
37 "stat padova" "84" "" 3 NA "20140703" "1"
38 "mat CA" "106" "97" 1 NA "20140703" "1"
